id_departamento,grupo_etario,cantidad
14063,>18,79767
14070,0-5,371
14070,6-12,424
14070,12-18,529
14070,>18,3530
14077,0-5,377
14077,6-12,399
14077,12-18,544
14077,>18,3749
14084,0-5,2907
14084,6-12,3515
14084,12-18,4141
14084,>18,26987
14091,0-5,15214
14091,6-12,19630
14091,12-18,23311
14091,>18,161338
14098,0-5,21670
14098,6-12,24667
14098,12-18,28427
14098,>18,203212
14105,0-5,5303
14105,6-12,5663
14105,12-18,6638
14105,>18,40576
14112,0-5,1324
14112,6-12,1591
14112,12-18,1918
14112,>18,10441
14119,0-5,8823
14119,6-12,10379
14119,12-18,12099
14119,>18,82009
14126,0-5,3328
14126,6-12,3968
14126,12-18,4656
14126,>18,30076
14133,0-5,4809
14133,6-12,6034
14133,12-18,6847
14133,>18,45009
14140,0-5,17737
14140,6-12,20783
14140,12-18,24859
14140,>18,165571
14147,0-5,12002
14147,6-12,14361
14147,12-18,15614
14147,>18,97034
14154,0-5,345
14154,6-12,401
14154,12-18,541
14154,>18,3093
14161,0-5,9114
14161,6-12,10870
14161,12-18,12405
14161,>18,87817
14168,0-5,1943
14168,6-12,2217
14168,12-18,2670
14168,>18,15642
14175,0-5,1158
14175,6-12,1209
14175,12-18,1507
14175,>18,10217
14182,0-5,8748
14182,6-12,10277
14182,12-18,12072
14182,>18,82537
18007,0-5,4397
18007,6-12,4808
18007,12-18,5139
18007,>18,30024
18014,0-5,231
18014,6-12,265
18014,12-18,324
18014,>18,1986
18021,0-5,35160
18021,6-12,40888
18021,12-18,47679
18021,>18,313717
18028,0-5,2791
18028,6-12,3184
18028,12-18,3682
18028,>18,16612
18035,0-5,4649
18035,6-12,5255
18035,12-18,6224
18035,>18,35360
18042,0-5,1574
18042,6-12,1754
18042,12-18,2082
18042,>18,12536
18049,0-5,3662
18049,6-12,4138
18049,12-18,4927
18049,>18,26440
18056,0-5,873
18056,6-12,896
18056,12-18,1126
18056,>18,6155
18063,0-5,1425
18063,6-12,1615
18063,12-18,1937
18063,>18,12038
18070,0-5,9035
18070,6-12,10905
18070,12-18,12844
18070,>18,73438
18077,0-5,1136
18077,6-12,1276
18077,12-18,1379
18077,>18,8154
18084,0-5,3816
18084,6-12,4200
18084,12-18,4751
18084,>18,25999
18091,0-5,4432
18091,6-12,4752
18091,12-18,5177
18091,>18,26044
18098,0-5,1002
18098,6-12,1108
18098,12-18,1439
18098,>18,7990
18105,0-5,4965
18105,6-12,5266
18105,12-18,5536
18105,>18,34039
