Cueanexo,Primario,Secundario,Inicial,id_departamento
20129000,1,1,1,21120
20129100,1, ,,21120
20129200,1, ,,21150
20129400,1, ,,21120
20129500, , ,1,21120
20129600,1, ,1,21110
20129700,1,1,1,21060
20129800, ,1,,21050
20129900,1,1,1,21090
20130000,1,1,1,21090
20130100,1, ,,21050
20130200,1, ,,21090
20130300, ,1,,21050
20130400,1,1,1,21050
20130500,1,1,1,21090
20130600,1,1,1,21090
20130700, , ,1,21090
20130705, , ,1,21090
20130706, , ,1,21090
20130707, , ,1,21090
20130708, , ,1,21090
20130800,1, ,,21090
20130900, , ,1,21050
20131000,1, ,1,21090
20131100, , ,1,21120
20131200,1, ,,21120
20131300, , ,1,21130
20131400,1,1,1,21140
20131800, ,1,,21140
20131900,1,1,1,21140
20132000,1, ,,21070
20132100,1, ,,21070
20132200,1, ,,21090
20132300,1,1,1,21090
20132500, , ,1,21090
20132501, , ,1,21090
20132502, , ,1,21070
20132503, , ,1,21090
20132600,1, ,,21070
20132800,1,1,1,21040
20132801, , ,,21040
20132900, , ,,21140
20132901, , ,1,21140
20133000,1, ,,21140
20133100, ,1,,21140
20133200, ,1,,21140
20133400,1,1,1,21110
20133500,1,1,1,21100
20133600, ,1,,21100
20133700,1,1,1,21110
20133900,1,1,1,21100
20134000,1, ,,21070
20134100,1, ,1,21070
20134200,1,1,1,21070
20134300,1, ,,21070
20134400,1, ,,21070
20134500,1,1,,21050
20134600,1,1,1,21050
20134700,1, ,,21050
20134800, ,1,,21060
20135100,1, ,,21050
20135200, ,1,,21060
20135300,1, ,,21060
20135400,1, ,,21070
20135500,1, ,,21060
20135700,1, ,,21060
20136000, , ,,21130
20136100, , ,,21130
20136400,1, ,,21110
20136500,1, ,,21110
20136600,1, ,,21110
20136700,1, ,,21110
20136800,1, ,,21110
20136900, , ,1,21110
20136901, , ,1,21150
20136902, , ,1,21150
20136903, , ,1,21110
20137000,1,1,1,21150
20137100, , ,1,21060
20137200, , ,1,21150
20137201, , ,1,21150
20137202, , ,1,21150
20137203, , ,1,21150
20137300,1,1,1,21060
20137400,1, ,,21060
20137500,1, ,,21060
20137800, , ,,21020
20138100,1,1,1,21140
20138400, ,1,,21130
20138600, ,1,,21140
20138601,1, ,,21130
20138602, , ,1,21130
20139100,1,1,1,21060
20139200,1, ,,21090
20139300, , ,,21070
20139400,1, ,,21080
20139500,1, ,,21080
20139700,1,1,1,21090
20139800,1, ,,21150
20139900,1, ,,21150
20140000, , ,1,21150
20140100,1, ,,21110
20140200,1, ,,21050
20140300,1, ,1,21150
20140400,1,1,1,21060
20140500, , ,1,21060
20140600,1, ,1,21060
20140800,1,1,1,21060
20140900, , ,1,21110
20140903, , ,1,21110
20140905, , ,1,21110
20141000, ,1,,21060
20141100, , ,,21030
20141400, , ,,21140
20141600, ,1,,21020
20141900, ,1,,21030
20142000, , ,,21050
20142200, ,1,,21050
20143100,1,1,1,21130
20143200, , ,,21010
20143300,1, ,,21090
20143400,1, ,,21050
20143500,1, ,,21100
20143600,1, ,,21060
20144000, , ,1,21080
20144100, , ,1,21090
20144101, , ,1,21090
20144102, , ,1,21090
20144103, , ,1,21090
20144200,1, ,,21060
20144600, ,1,,21120
20144800, ,1,,21050
20144900,1, ,,21060
20145300, , ,,21030
20145600, ,1,,21040
20145700, ,1,,21010
20145900, , ,,21020
20146700, ,1,,21030
20146800,1, ,,21140
20146900, , ,1,21050
20147100, , ,1,21140
20147101, , ,1,21140
20147200,1,1,1,21140
20147300,1,1,1,21110
20147400,1,1,1,21110
20147500, ,1,,21040
20147600,1,1,1,21070
20147800, , ,1,21060
20147801, , ,1,21050
20147802, , ,1,21060
20147900,1,1,1,21130
20148000,1,1,1,21130
20148200,1,1,1,21040
20148300,1,1,1,21090
20148500,1,1,1,21090
20148600,1, ,,21090
20148700, , ,1,21080
20148900,1,1,1,21030
20149000,1, ,1,21130
